epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.1016569995880128,0.30666666666666664,1.1002762095133463,0.25333333333333335
2,1.0992282507154676,0.3111111111111111,1.0947836271921794,0.41333333333333333
3,1.0946752336290149,0.3333333333333333,1.099022518793742,0.3466666666666667
4,1.092523339589437,0.36444444444444446,1.10455553372701,0.25333333333333335
5,1.0963273768954807,0.3333333333333333,1.105456026395162,0.26666666666666666
6,1.085538403722975,0.4711111111111111,1.1085992765426635,0.3466666666666667
7,1.0847590721978082,0.40444444444444444,1.097073771158854,0.32
8,1.0827000612682767,0.49777777777777776,1.0968314409255981,0.30666666666666664
9,1.0724605419900681,0.4533333333333333,1.0929106887181599,0.36
10,1.0347175447146097,0.5155555555555555,1.1399927600224813,0.3333333333333333
