epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.9701624070273506,0.5377777777777778,0.7312228775024414,0.8533333333333334
2,0.7117846912807888,0.7511111111111111,0.6235470334688823,0.84
3,0.5853786569171482,0.8888888888888888,0.5948903560638428,0.8666666666666667
4,0.4984694915347629,0.8977777777777778,0.5158373395601908,0.8666666666666667
5,0.41266393926408557,0.9244444444444444,0.48650563796361285,0.84
